  5  金项链(xiang lian)            ：二十五两白银        ：还剩五十串
135  镂花硬藤甲(armor)             ：二两白银            ：还剩二件
136  银簪(clasp)                   ：三两白银            ：还剩一根
150  桃木剑(taomu jian)            ：二两白银            ：还剩二把
151  龙泉剑(dragon sword)          ：五十两白银          ：还剩十九把
152  水印花裙(hua qun)             ：五两白银            ：还剩四条
153  淡黄麻纱护裙(skirt)           ：二两白银            ：还剩一件
166  紫花麻纱护裙(skirt)           ：二两白银            ：还剩二件
171  镂花坚木甲(armor)             ：二两白银            ：还剩七件
172  锈铁甲(armor)                 ：二两白银            ：还剩二件
173  镶边坚木甲(armor)             ：二两白银            ：还剩一件
176  柳月刀(liu yue dao)           ：十五两白银          ：还剩四十九柄
177  黄花袍(cloth)                 ：十两白银            ：还剩三件
179  粉色丝绒战裙(skirt)           ：二两白银            ：还剩一件
181  白金项圈(baijin xiangquan)    ：三十五两白银        ：还剩二十个
184  铁刃斧(iron axe)              ：五两白银            ：还剩一把
187  龙冠(jin longguan)            ：八两白银            ：还剩三顶
192  镶边龙骨甲(armor)             ：二两白银            ：还剩六件
193  砍山刀(kanshan dao)           ：三两白银            ：还剩四把
195  粉色罗纱战裙(skirt)           ：二两白银            ：还剩一件
196  乌心龟纹甲(armor)             ：二两白银            ：还剩四件
197  点金枪(golden spear)          ：一百两白银          ：还剩五十杆
199  熟铜甲(bronze armor)          ：四十两白银          ：还剩十四件
200  粗罗袄(cloth)                 ：三两白银            ：还剩三件
204  压花硬藤甲(armor)             ：二两白银            ：还剩一件
207  青铜甲(armor)                 ：二两白银            ：还剩一件
210  花棉长裙(skirt)               ：三两白银            ：还剩一件
214  紫金刀(zi jin dao)            ：十五两白银          ：还剩五十柄
215  镶边灌铅甲(armor)             ：二两白银            ：还剩一件
220  乌心虎竹甲(armor)             ：二两白银            ：还剩一件
221  龙须叉(longxu cha)            ：四两白银又八十文钱  ：还剩四十九根
222  乌心龙骨甲(armor)             ：二两白银            ：还剩二件
230  烟里火比甲(smoky armor)       ：八十两白银          ：还剩一件
239  紫云剑(ziyun jian)            ：四两白银又二十文钱  ：还剩九把
243  熟铜锏(copper mace)           ：二十两白银          ：还剩四十七柄
244  白铜甲(armor)                 ：二两白银            ：还剩一件
249  鹅黄丝绒战裙(skirt)           ：二两白银            ：还剩一件
253  象牙剑(xiangya jian)          ：五两白银又十文钱    ：还剩五十根
268  淡黄麻纱战裙(skirt)           ：二两白银            ：还剩一件
270  青铜叉(qingtong cha)          ：三两白银又六十文钱  ：还剩一根
272  花棉短裙(skirt)               ：三两白银            ：还剩四件
274  鹅黄柳絮战裙(skirt)           ：二两白银            ：还剩一件
280  翡红罗纱护裙(skirt)           ：二两白银            ：还剩一件
282  细缎短裙(skirt)               ：三两白银            ：还剩一件
283  大红蟒袍(mangpao)             ：七十两白银          ：还剩四十九件
284  紫花丝绒战裙(skirt)           ：二两白银            ：还剩二件
285  木叉(fork)                    ：一两白银            ：还剩四十九柄
286  软缎短裙(skirt)               ：三两白银            ：还剩一件
287  青锋剑(qingfeng sword)        ：七十两白银          ：还剩四十二把
288  镶边硬藤甲(armor)             ：二两白银            ：还剩三件
290  牛角叉(niujiao cha)           ：一两白银又十文钱    ：还剩十二根
294  菜刀(cai dao)                 ：一两白银            ：还剩五十柄
297  长弯刀(chang wan dao)         ：四两白银            ：还剩三把
300  乌凤锏(wufeng jian)           ：十两白银            ：还剩一根
303  水晶(bao shi)                 ：二千两白银          ：还剩二块
309  新月刀(xinyue dao)            ：三两白银又九十文钱  ：还剩五把
310  铁剑(sword)                   ：十两白银            ：还剩三十五把
311  玉柄虎竹甲(armor)             ：二两白银            ：还剩三件
312  蟒龙袍(long pao)              ：一百五十两白银      ：还剩五十件
313  霓虹羽衣(nihong yuyi)         ：三十两白银          ：还剩十三件
319  粉色麻纱战裙(skirt)           ：二两白银            ：还剩三件
320  皮袍(pipao)                   ：八两白银            ：还剩五十件
321  太白刺(taibai ci)             ：五两白银            ：还剩一柄
322  薄罗袄(cloth)                 ：三两白银            ：还剩五件
323  厚罗袄(cloth)                 ：三两白银            ：还剩二件
329  淡黄丝绒战裙(skirt)           ：二两白银            ：还剩一件
330  白罗袍(baipao)                ：四两白银            ：还剩三十三件
334  牛皮帽(niu pimao)             ：二两白银            ：还剩四顶
338  细纱长裙(skirt)               ：三两白银            ：还剩一件
339  粗丝袄(cloth)                 ：三两白银            ：还剩一件
346  玉柄坚木甲(armor)             ：二两白银            ：还剩一件
