hongchen     was created from 222.35.185.34        (Sun Jul 30 16:24:56 2006)
xiluo        was created from 222.182.27.153       (Mon Jul 31 16:03:57 2006)
xiluo        was created from 222.182.27.153       (Mon Jul 31 16:08:44 2006)
anshoo       was created from 221.2.41.130         (Mon Jul 31 17:52:44 2006)
icowboy      was created from 222.95.174.52        (Mon Jul 31 18:31:16 2006)
kuku         was created from 222.210.69.249       (Mon Jul 31 18:43:44 2006)
paxzorro     was created from 222.55.124.139       (Mon Jul 31 19:30:18 2006)
paxzorro     was created from 222.55.124.139       (Mon Jul 31 19:32:13 2006)
paxzorro     was created from 222.55.124.139       (Mon Jul 31 19:35:05 2006)
tester       was created from 222.79.97.71         (Mon Jul 31 19:46:45 2006)
ooop         was created from 222.210.69.249       (Tue Aug 01 01:02:36 2006)
xycy         was created from 222.210.69.249       (Tue Aug 01 01:12:07 2006)
rmrm         was created from 222.210.69.249       (Tue Aug 01 02:41:50 2006)
rmrm         was created from 222.210.69.249       (Tue Aug 01 02:43:04 2006)
rmrm         was created from 222.210.69.249       (Tue Aug 01 02:44:11 2006)
rmrm         was created from 222.210.69.249       (Tue Aug 01 02:45:34 2006)
xiluo        was created from 222.182.13.96        (Tue Aug 01 03:27:09 2006)
xiluo        was created from 222.182.13.96        (Tue Aug 01 03:30:30 2006)
xiluo        was created from 222.182.13.96        (Tue Aug 01 03:32:12 2006)
xiluo        was created from 222.182.13.96        (Tue Aug 01 03:33:25 2006)
xiluo        was created from 222.182.13.96        (Tue Aug 01 03:34:39 2006)
xiluo        was created from 222.182.13.96        (Tue Aug 01 03:36:33 2006)
xiluo        was created from 222.182.13.96        (Tue Aug 01 03:38:00 2006)
xiluo        was created from 222.182.13.96        (Tue Aug 01 03:41:47 2006)
xiluo        was created from 222.182.13.96        (Tue Aug 01 03:55:30 2006)
xiluo        was created from 222.182.13.96        (Tue Aug 01 03:58:02 2006)
xiluo        was created from 222.182.13.96        (Tue Aug 01 04:04:24 2006)
xiluo        was created from 222.182.13.96        (Tue Aug 01 04:22:29 2006)
xiluo        was created from 222.182.13.96        (Tue Aug 01 04:25:20 2006)
xiluo        was created from 222.182.13.96        (Tue Aug 01 04:27:47 2006)
xiluo        was created from 222.182.13.96        (Tue Aug 01 04:30:17 2006)
xiluo        was created from 222.182.13.96        (Tue Aug 01 04:35:47 2006)
yideruier    was created from 222.182.13.96        (Tue Aug 01 04:37:45 2006)
yideruier    was created from 222.182.13.96        (Tue Aug 01 04:40:24 2006)
yideruier    was created from 222.182.13.96        (Tue Aug 01 04:41:41 2006)
yideruier    was created from 222.182.13.96        (Tue Aug 01 04:43:31 2006)
yideruier    was created from 222.182.13.96        (Tue Aug 01 04:48:51 2006)
yideruier    was created from 222.182.13.96        (Tue Aug 01 04:49:49 2006)
yideruier    was created from 222.182.13.96        (Tue Aug 01 04:50:57 2006)
yideruier    was created from 222.182.13.96        (Tue Aug 01 04:52:40 2006)
yideruier    was created from 222.182.13.96        (Tue Aug 01 04:54:26 2006)
jinjg        was created from 218.1.158.63         (Tue Aug 01 11:15:50 2006)
eric         was created from 210.77.84.133        (Tue Aug 01 12:30:25 2006)
eric         was created from 210.77.84.133        (Tue Aug 01 12:31:17 2006)
eric         was created from 210.77.84.133        (Tue Aug 01 12:32:05 2006)
eric         was created from 210.77.84.133        (Tue Aug 01 12:32:54 2006)
eric         was created from 210.77.84.133        (Tue Aug 01 12:33:52 2006)
eric         was created from 210.77.84.133        (Tue Aug 01 12:34:44 2006)
eric         was created from 210.77.84.133        (Tue Aug 01 12:35:31 2006)
eric         was created from 210.77.84.133        (Tue Aug 01 12:36:18 2006)
eric         was created from 210.77.84.133        (Tue Aug 01 12:37:08 2006)
eric         was created from 210.77.84.133        (Tue Aug 01 12:37:54 2006)
eric         was created from 210.77.84.133        (Tue Aug 01 12:38:43 2006)
eric         was created from 210.77.84.133        (Tue Aug 01 12:39:54 2006)
eric         was created from 210.77.84.133        (Tue Aug 01 12:40:44 2006)
eric         was created from 210.77.84.133        (Tue Aug 01 12:41:45 2006)
eric         was created from 210.77.84.133        (Tue Aug 01 12:42:44 2006)
haha         was created from 210.77.84.133        (Tue Aug 01 12:43:01 2006)
eric         was created from 210.77.84.133        (Tue Aug 01 12:43:32 2006)
eric         was created from 210.77.84.133        (Tue Aug 01 12:44:20 2006)
erica        was created from 210.77.84.133        (Tue Aug 01 12:59:58 2006)
erica        was created from 210.77.84.133        (Tue Aug 01 13:00:44 2006)
erica        was created from 210.77.84.133        (Tue Aug 01 13:01:33 2006)
erica        was created from 210.77.84.133        (Tue Aug 01 13:02:30 2006)
erica        was created from 210.77.84.133        (Tue Aug 01 13:03:18 2006)
erica        was created from 210.77.84.133        (Tue Aug 01 13:04:16 2006)
erica        was created from 210.77.84.133        (Tue Aug 01 13:05:16 2006)
erica        was created from 210.77.84.133        (Tue Aug 01 13:06:04 2006)
erica        was created from 210.77.84.133        (Tue Aug 01 13:07:09 2006)
erica        was created from 210.77.84.133        (Tue Aug 01 13:07:59 2006)
erica        was created from 210.77.84.133        (Tue Aug 01 13:08:48 2006)
erica        was created from 210.77.84.133        (Tue Aug 01 13:09:40 2006)
ericb        was created from 210.77.84.133        (Tue Aug 01 13:10:23 2006)
erica        was created from 210.77.84.133        (Tue Aug 01 13:10:28 2006)
erica        was created from 210.77.84.133        (Tue Aug 01 13:11:14 2006)
ericb        was created from 210.77.84.133        (Tue Aug 01 13:11:22 2006)
erica        was created from 210.77.84.133        (Tue Aug 01 13:12:02 2006)
ericb        was created from 210.77.84.133        (Tue Aug 01 13:12:15 2006)
erica        was created from 210.77.84.133        (Tue Aug 01 13:12:52 2006)
ericb        was created from 210.77.84.133        (Tue Aug 01 13:13:05 2006)
erica        was created from 210.77.84.133        (Tue Aug 01 13:13:39 2006)
ericb        was created from 210.77.84.133        (Tue Aug 01 13:13:53 2006)
ericb        was created from 210.77.84.133        (Tue Aug 01 13:14:41 2006)
ericb        was created from 210.77.84.133        (Tue Aug 01 13:15:29 2006)
ericb        was created from 210.77.84.133        (Tue Aug 01 13:16:19 2006)
ericb        was created from 210.77.84.133        (Tue Aug 01 13:17:08 2006)
ericb        was created from 210.77.84.133        (Tue Aug 01 13:17:56 2006)
ericb        was created from 210.77.84.133        (Tue Aug 01 13:18:50 2006)
ericb        was created from 210.77.84.133        (Tue Aug 01 13:19:38 2006)
ericb        was created from 210.77.84.133        (Tue Aug 01 13:20:24 2006)
ericb        was created from 210.77.84.133        (Tue Aug 01 13:21:36 2006)
ericb        was created from 210.77.84.133        (Tue Aug 01 13:22:39 2006)
ericb        was created from 210.77.84.133        (Tue Aug 01 13:23:29 2006)
ericb        was created from 210.77.84.133        (Tue Aug 01 13:24:17 2006)
ericb        was created from 210.77.84.133        (Tue Aug 01 13:25:15 2006)
ericb        was created from 210.77.84.133        (Tue Aug 01 13:26:14 2006)
ericb        was created from 210.77.84.133        (Tue Aug 01 13:27:15 2006)
ericb        was created from 210.77.84.133        (Tue Aug 01 13:28:28 2006)
ericb        was created from 210.77.84.133        (Tue Aug 01 13:29:41 2006)
ericb        was created from 210.77.84.133        (Tue Aug 01 13:30:30 2006)
ericb        was created from 210.77.84.133        (Tue Aug 01 13:31:19 2006)
ericb        was created from 210.77.84.133        (Tue Aug 01 13:32:06 2006)
ericb        was created from 210.77.84.133        (Tue Aug 01 13:32:55 2006)
ericb        was created from 210.77.84.133        (Tue Aug 01 13:33:46 2006)
ericb        was created from 210.77.84.133        (Tue Aug 01 13:34:34 2006)
ericb        was created from 210.77.84.133        (Tue Aug 01 13:35:20 2006)
ericb        was created from 210.77.84.133        (Tue Aug 01 13:36:08 2006)
ericb        was created from 210.77.84.133        (Tue Aug 01 13:36:56 2006)
ericb        was created from 210.77.84.133        (Tue Aug 01 13:37:45 2006)
ericb        was created from 210.77.84.133        (Tue Aug 01 13:38:32 2006)
ericb        was created from 210.77.84.133        (Tue Aug 01 13:39:21 2006)
ericb        was created from 210.77.84.133        (Tue Aug 01 13:40:08 2006)
ericb        was created from 210.77.84.133        (Tue Aug 01 13:40:56 2006)
ericb        was created from 210.77.84.133        (Tue Aug 01 13:41:42 2006)
ericb        was created from 210.77.84.133        (Tue Aug 01 13:42:28 2006)
ericb        was created from 210.77.84.133        (Tue Aug 01 13:43:14 2006)
ericb        was created from 210.77.84.133        (Tue Aug 01 13:44:09 2006)
cigarman     was created from 221.223.98.228       (Tue Aug 01 14:47:15 2006)
fengyatou    was created from 219.139.84.239       (Tue Aug 01 17:23:18 2006)
fantasy      was created from 219.139.84.239       (Tue Aug 01 17:31:51 2006)
sleepbag     was created from 219.139.84.239       (Tue Aug 01 17:35:50 2006)
baoer        was created from 219.139.84.239       (Tue Aug 01 17:38:09 2006)
moonlight    was created from 219.139.84.239       (Tue Aug 01 17:38:57 2006)
score        was created from 219.139.10.121       (Tue Aug 01 18:31:52 2006)
score        was created from 219.139.10.121       (Tue Aug 01 18:32:47 2006)
score        was created from 219.139.10.121       (Tue Aug 01 18:34:21 2006)
score        was created from 219.139.10.121       (Tue Aug 01 18:39:40 2006)
score        was created from 219.139.10.121       (Tue Aug 01 18:43:10 2006)
tangni       was created from 222.182.13.96        (Tue Aug 01 19:13:45 2006)
tangni       was created from 222.182.13.96        (Tue Aug 01 19:14:57 2006)
tangni       was created from 222.182.13.96        (Tue Aug 01 19:16:08 2006)
score        was created from 219.139.10.121       (Tue Aug 01 19:16:46 2006)
score        was created from 219.139.10.121       (Tue Aug 01 19:17:41 2006)
score        was created from 219.139.10.121       (Tue Aug 01 19:20:34 2006)
score        was created from 219.139.10.121       (Tue Aug 01 19:31:26 2006)
score        was created from 219.139.10.121       (Tue Aug 01 19:32:28 2006)
yatou        was created from 219.139.88.202       (Tue Aug 01 19:46:32 2006)
fng          was created from 218.24.137.161       (Tue Aug 01 19:55:22 2006)
fengyatou    was created from 58.210.82.154        (Tue Aug 01 20:57:51 2006)
fengyatou    was created from 58.210.82.154        (Tue Aug 01 21:00:23 2006)
fengyatou    was created from 58.210.82.154        (Tue Aug 01 21:03:08 2006)
fengyatou    was created from 58.210.82.154        (Tue Aug 01 21:06:03 2006)
fengyatou    was created from 58.210.82.154        (Tue Aug 01 21:08:00 2006)
fengyatou    was created from 58.210.82.154        (Tue Aug 01 21:09:20 2006)
fengyatou    was created from 58.210.82.154        (Tue Aug 01 21:10:35 2006)
fengyatou    was created from 58.210.82.154        (Tue Aug 01 21:12:11 2006)
fengyatou    was created from 58.210.82.154        (Tue Aug 01 21:13:20 2006)
fengyatou    was created from 58.210.82.154        (Tue Aug 01 21:14:34 2006)
fengyatou    was created from 58.210.82.154        (Tue Aug 01 21:15:21 2006)
seraphim     was created from 221.233.108.197      (Tue Aug 01 23:17:15 2006)
tangni       was created from 222.182.4.204        (Wed Aug 02 02:05:14 2006)
tangni       was created from 222.182.4.204        (Wed Aug 02 02:06:35 2006)
tangni       was created from 222.182.4.204        (Wed Aug 02 02:07:52 2006)
tangni       was created from 222.182.4.204        (Wed Aug 02 02:08:54 2006)
tangni       was created from 222.182.4.204        (Wed Aug 02 02:10:43 2006)
tangni       was created from 222.182.4.204        (Wed Aug 02 02:12:13 2006)
tangni       was created from 222.182.4.204        (Wed Aug 02 02:13:15 2006)
tangni       was created from 222.182.4.204        (Wed Aug 02 02:14:22 2006)
tangni       was created from 222.182.4.204        (Wed Aug 02 02:16:12 2006)
mingku       was created from 222.182.4.204        (Wed Aug 02 02:23:54 2006)
yhx          was created from 222.173.138.118      (Wed Aug 02 09:29:13 2006)
buxu         was created from 58.67.30.162         (Wed Aug 02 10:06:02 2006)
cuyu         was created from 219.137.58.214       (Wed Aug 02 11:16:50 2006)
wasbnoi      was created from 60.191.233.116       (Wed Aug 02 12:52:03 2006)
hbw          was created from 60.191.233.116       (Wed Aug 02 13:01:10 2006)
shal         was created from 218.18.188.164       (Wed Aug 02 13:06:49 2006)
xiangfei     was created from 220.188.55.206       (Wed Aug 02 16:43:59 2006)
wiz          was created from 61.186.167.133       (Wed Aug 02 17:37:45 2006)
newbie       was created from 219.141.15.109       (Wed Aug 02 18:16:01 2006)
mingyun      was created from 219.141.15.109       (Wed Aug 02 18:39:10 2006)
xiaoxiaoputao was created from 60.191.251.89        (Wed Aug 02 21:38:39 2006)
mml          was created from 219.136.124.108      (Thu Aug 03 04:52:39 2006)
lvbu         was created from 221.232.148.2        (Thu Aug 03 13:12:02 2006)
boob         was created from 221.208.56.130       (Thu Aug 03 16:08:35 2006)
xiaoxiaoputao was created from 60.191.251.89        (Thu Aug 03 20:41:37 2006)
xiaoxiaoputao was created from 60.191.251.89        (Thu Aug 03 20:43:30 2006)
xiaoxiaoputao was created from 60.191.251.89        (Thu Aug 03 20:46:14 2006)
xiaoxiaoputao was created from 60.191.251.89        (Thu Aug 03 20:47:33 2006)
xiaoxiaoputao was created from 60.191.251.89        (Thu Aug 03 20:48:47 2006)
sql          was created from 218.19.84.45         (Thu Aug 03 20:49:54 2006)
xiaoxiaoputao was created from 60.191.251.89        (Thu Aug 03 20:50:09 2006)
annie        was created from 59.191.39.67         (Fri Aug 04 02:09:24 2006)
annie        was created from 59.191.39.67         (Fri Aug 04 02:13:43 2006)
annie        was created from 59.191.39.67         (Fri Aug 04 02:15:52 2006)
annie        was created from 59.191.39.67         (Fri Aug 04 02:17:23 2006)
annie        was created from 59.191.39.67         (Fri Aug 04 02:18:45 2006)
annie        was created from 59.191.39.67         (Fri Aug 04 02:20:26 2006)
annie        was created from 59.191.39.67         (Fri Aug 04 02:21:52 2006)
annie        was created from 59.191.39.67         (Fri Aug 04 02:23:30 2006)
yueshen      was created from 60.191.251.89        (Fri Aug 04 04:33:10 2006)
yueshen      was created from 60.191.251.89        (Fri Aug 04 04:38:38 2006)
yueshen      was created from 60.191.251.89        (Fri Aug 04 05:14:53 2006)
yueshen      was created from 60.191.251.89        (Fri Aug 04 05:16:21 2006)
endless      was created from 218.94.76.92         (Fri Aug 04 08:45:34 2006)
endless      was created from 218.94.76.92         (Fri Aug 04 08:59:42 2006)
endless      was created from 218.94.76.92         (Fri Aug 04 09:01:47 2006)
cup          was created from 218.94.76.92         (Fri Aug 04 09:02:53 2006)
endless      was created from 218.94.76.92         (Fri Aug 04 09:03:25 2006)
cup          was created from 218.94.76.92         (Fri Aug 04 09:03:53 2006)
endless      was created from 218.94.76.92         (Fri Aug 04 09:04:39 2006)
cup          was created from 218.94.76.92         (Fri Aug 04 09:05:19 2006)
endless      was created from 218.94.76.92         (Fri Aug 04 09:05:45 2006)
cup          was created from 218.94.76.92         (Fri Aug 04 09:06:16 2006)
endless      was created from 218.94.76.92         (Fri Aug 04 09:06:57 2006)
cup          was created from 218.94.76.92         (Fri Aug 04 09:08:15 2006)
endless      was created from 218.94.76.92         (Fri Aug 04 09:10:46 2006)
cup          was created from 218.94.76.92         (Fri Aug 04 09:12:31 2006)
endless      was created from 218.94.76.92         (Fri Aug 04 09:27:10 2006)
cup          was created from 218.94.76.92         (Fri Aug 04 09:27:49 2006)
cup          was created from 218.94.76.92         (Fri Aug 04 09:33:04 2006)
cup          was created from 218.94.76.92         (Fri Aug 04 09:34:30 2006)
cup          was created from 218.94.76.92         (Fri Aug 04 09:35:57 2006)
silion       was created from 61.144.194.208       (Fri Aug 04 09:37:50 2006)
cup          was created from 218.94.76.92         (Fri Aug 04 09:41:54 2006)
cup          was created from 218.94.76.92         (Fri Aug 04 09:43:28 2006)
cup          was created from 218.94.76.92         (Fri Aug 04 09:44:36 2006)
cup          was created from 218.94.76.92         (Fri Aug 04 09:52:51 2006)
chonglai     was created from 60.223.39.63         (Fri Aug 04 11:00:31 2006)
plm          was created from 220.166.57.22        (Fri Aug 04 11:13:16 2006)
plm          was created from 220.166.57.22        (Fri Aug 04 11:18:53 2006)
plmm         was created from 220.166.57.22        (Fri Aug 04 11:19:44 2006)
plm          was created from 220.166.57.22        (Fri Aug 04 11:19:51 2006)
plm          was created from 220.166.57.22        (Fri Aug 04 11:20:26 2006)
plmm         was created from 220.166.57.22        (Fri Aug 04 11:20:28 2006)
plmm         was created from 220.166.57.22        (Fri Aug 04 11:21:15 2006)
plmm         was created from 220.166.57.22        (Fri Aug 04 11:21:59 2006)
plmm         was created from 220.166.57.22        (Fri Aug 04 11:22:44 2006)
plmm         was created from 220.166.57.22        (Fri Aug 04 11:23:28 2006)
plmm         was created from 220.166.57.22        (Fri Aug 04 11:24:13 2006)
plmm         was created from 220.166.57.22        (Fri Aug 04 11:24:59 2006)
plmm         was created from 220.166.57.22        (Fri Aug 04 11:25:45 2006)
plmm         was created from 220.166.57.22        (Fri Aug 04 11:26:30 2006)
plmm         was created from 220.166.57.22        (Fri Aug 04 11:27:14 2006)
fushen       was created from 222.180.228.203      (Fri Aug 04 17:26:19 2006)
civvy        was created from 218.71.197.164       (Fri Aug 04 19:54:03 2006)
civvy        was created from 218.71.197.164       (Fri Aug 04 20:18:18 2006)
civvy        was created from 218.71.197.164       (Fri Aug 04 20:22:50 2006)
civvy        was created from 218.71.197.164       (Fri Aug 04 20:23:30 2006)
civvy        was created from 218.71.197.164       (Fri Aug 04 20:24:05 2006)
civvy        was created from 218.71.197.164       (Fri Aug 04 20:24:43 2006)
civvy        was created from 218.71.197.164       (Fri Aug 04 20:25:20 2006)
civvy        was created from 218.71.197.164       (Fri Aug 04 20:26:00 2006)
civvy        was created from 218.71.197.164       (Fri Aug 04 20:26:56 2006)
civvy        was created from 218.71.197.164       (Fri Aug 04 20:27:33 2006)
civvy        was created from 218.71.197.164       (Fri Aug 04 20:28:10 2006)
civvy        was created from 218.71.197.164       (Fri Aug 04 20:28:43 2006)
civvy        was created from 218.71.197.164       (Fri Aug 04 20:29:21 2006)
civvy        was created from 218.71.197.164       (Fri Aug 04 20:29:56 2006)
civvy        was created from 218.71.197.164       (Fri Aug 04 20:30:41 2006)
civvy        was created from 218.71.197.164       (Fri Aug 04 20:31:17 2006)
civvy        was created from 218.71.197.164       (Fri Aug 04 20:32:04 2006)
civvy        was created from 218.71.197.164       (Fri Aug 04 20:36:12 2006)
civvy        was created from 218.71.197.164       (Fri Aug 04 20:36:45 2006)
civvy        was created from 218.71.197.164       (Fri Aug 04 20:37:20 2006)
civvy        was created from 218.71.197.164       (Fri Aug 04 20:37:53 2006)
civvy        was created from 218.71.197.164       (Fri Aug 04 20:38:28 2006)
civvy        was created from 218.71.197.164       (Fri Aug 04 20:39:27 2006)
civvy        was created from 218.71.197.164       (Fri Aug 04 20:40:04 2006)
civvy        was created from 218.71.197.164       (Fri Aug 04 20:40:40 2006)
civvy        was created from 218.71.197.164       (Fri Aug 04 20:41:15 2006)
civvy        was created from 218.71.197.164       (Fri Aug 04 20:42:34 2006)
civvy        was created from 218.71.197.164       (Fri Aug 04 20:43:13 2006)
civvy        was created from 218.71.197.164       (Fri Aug 04 20:43:55 2006)
civvy        was created from 218.71.197.164       (Fri Aug 04 20:44:31 2006)
civvy        was created from 218.71.197.164       (Fri Aug 04 20:45:15 2006)
civvy        was created from 218.71.197.164       (Fri Aug 04 20:45:58 2006)
civvy        was created from 218.71.197.164       (Fri Aug 04 20:46:40 2006)
civvy        was created from 218.71.197.164       (Fri Aug 04 20:47:26 2006)
civvy        was created from 218.71.197.164       (Fri Aug 04 20:48:13 2006)
civvy        was created from 218.71.197.164       (Fri Aug 04 20:48:56 2006)
civvy        was created from 218.71.197.164       (Fri Aug 04 20:49:38 2006)
civvy        was created from 218.71.197.164       (Fri Aug 04 20:50:23 2006)
civvy        was created from 218.71.197.164       (Fri Aug 04 20:50:59 2006)
civvy        was created from 218.71.197.164       (Fri Aug 04 20:51:42 2006)
xiaoxiaoputao was created from 222.182.29.158       (Fri Aug 04 20:51:47 2006)
masterr      was created from 211.143.241.34       (Fri Aug 04 20:52:02 2006)
civvy        was created from 218.71.197.164       (Fri Aug 04 20:52:25 2006)
civvy        was created from 218.71.197.164       (Fri Aug 04 20:53:11 2006)
civvy        was created from 218.71.197.164       (Fri Aug 04 20:53:56 2006)
civvy        was created from 218.71.197.164       (Fri Aug 04 20:54:39 2006)
civvy        was created from 218.71.197.164       (Fri Aug 04 20:55:30 2006)
civvy        was created from 218.71.197.164       (Fri Aug 04 20:56:15 2006)
civvy        was created from 218.71.197.164       (Fri Aug 04 20:57:01 2006)
civvy        was created from 218.71.197.164       (Fri Aug 04 20:57:48 2006)
civvy        was created from 218.71.197.164       (Fri Aug 04 20:58:37 2006)
civvy        was created from 218.71.197.164       (Fri Aug 04 20:59:22 2006)
civvy        was created from 218.71.197.164       (Fri Aug 04 21:00:05 2006)
civvy        was created from 218.71.197.164       (Fri Aug 04 21:00:51 2006)
money        was created from 218.71.197.164       (Fri Aug 04 21:06:04 2006)
civvy        was created from 218.71.197.164       (Fri Aug 04 21:12:59 2006)
civvy        was created from 218.71.197.164       (Fri Aug 04 21:13:43 2006)
civvy        was created from 218.71.197.164       (Fri Aug 04 21:14:27 2006)
civvy        was created from 218.71.197.164       (Fri Aug 04 21:15:12 2006)
civvy        was created from 218.71.197.164       (Fri Aug 04 21:15:57 2006)
civvy        was created from 218.71.197.164       (Fri Aug 04 21:16:40 2006)
civvy        was created from 218.71.197.164       (Fri Aug 04 21:17:34 2006)
civvy        was created from 218.71.197.164       (Fri Aug 04 21:18:21 2006)
civvy        was created from 218.71.197.164       (Fri Aug 04 21:19:04 2006)
civvy        was created from 218.71.197.164       (Fri Aug 04 21:19:49 2006)
civvy        was created from 218.71.197.164       (Fri Aug 04 21:20:38 2006)
civvy        was created from 218.71.197.164       (Fri Aug 04 21:21:33 2006)
civvy        was created from 218.71.197.164       (Fri Aug 04 21:22:15 2006)
civvy        was created from 218.71.197.164       (Fri Aug 04 21:23:00 2006)
civvy        was created from 218.71.197.164       (Fri Aug 04 21:23:55 2006)
wizhelp      was created from 222.212.200.154      (Fri Aug 04 21:46:21 2006)
yueshen      was created from 60.191.251.89        (Sat Aug 05 06:37:18 2006)
yueshen      was created from 60.191.251.89        (Sat Aug 05 06:40:36 2006)
yueshen      was created from 60.191.251.89        (Sat Aug 05 06:47:53 2006)
yueshen      was created from 60.191.251.89        (Sat Aug 05 06:50:15 2006)
yueshen      was created from 60.191.251.89        (Sat Aug 05 06:52:08 2006)
xiaoxiaoputao was created from 60.191.251.89        (Sat Aug 05 09:04:01 2006)
gofire       was created from 58.67.74.33          (Sat Aug 05 11:01:20 2006)
tleva        was created from 222.180.228.203      (Sat Aug 05 11:07:34 2006)
tleva        was created from 222.180.228.203      (Sat Aug 05 11:08:31 2006)
tleva        was created from 222.180.228.203      (Sat Aug 05 11:09:24 2006)
xiaoxiaoputao was created from 60.191.251.89        (Sat Aug 05 11:22:27 2006)
xiaoxiaoputao was created from 222.182.29.158       (Sat Aug 05 14:27:05 2006)
xiaoxiaoputao was created from 222.182.29.158       (Sat Aug 05 14:28:25 2006)
xiaoxiaoputao was created from 222.182.29.158       (Sat Aug 05 14:35:23 2006)
xiaoxiaoputao was created from 222.182.29.158       (Sat Aug 05 14:42:34 2006)
xiaoxiaoputao was created from 222.182.29.158       (Sat Aug 05 14:43:42 2006)
xiaoxiaoputao was created from 222.182.4.213        (Sat Aug 05 15:35:37 2006)
jucai        was created from 218.23.85.197        (Sat Aug 05 17:43:49 2006)
xiaoxiaoputao was created from 60.191.251.89        (Sat Aug 05 17:51:16 2006)
xiaoxiaoputao was created from 60.191.251.89        (Sat Aug 05 18:00:01 2006)
yxlgo        was created from 218.23.85.197        (Sat Aug 05 20:28:36 2006)
yxlgogo      was created from 218.23.85.197        (Sat Aug 05 20:29:40 2006)
rain         was created from 218.23.85.197        (Sat Aug 05 20:30:47 2006)
yxl          was created from 218.23.85.197        (Sat Aug 05 20:32:26 2006)
rainbow      was created from 218.23.85.197        (Sat Aug 05 20:34:25 2006)
mud          was created from 218.23.85.197        (Sat Aug 05 20:35:07 2006)
hphp         was created from 218.23.85.197        (Sat Aug 05 20:35:56 2006)
skills       was created from 218.23.85.197        (Sat Aug 05 20:36:48 2006)
wokao        was created from 218.23.85.197        (Sat Aug 05 20:38:10 2006)
pingan       was created from 218.23.85.197        (Sat Aug 05 20:39:07 2006)
weapon       was created from 218.23.85.197        (Sat Aug 05 20:40:17 2006)
cloth        was created from 218.23.85.197        (Sat Aug 05 20:41:22 2006)
design       was created from 218.23.85.197        (Sat Aug 05 20:42:22 2006)
qutxwx       was created from 218.23.85.197        (Sat Aug 05 20:43:28 2006)
